Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2026,"Julio Rodriguez","SEA",20,0.2,0.25,0.8,0.125,0.3,0.125,0.425,0,0.181818181,0.6454792323514935,-1.610635548551369,0.20808702079873337,36.4262868904512,23697
2026,"Wilyer Abreu","BOS",13,0,0.153846153,0,0.384615384,0.384615384,0.538461538,0.923076922,0.153846154,0.454545454,2.43326318298035,0.9667885753934895,0.4119406113257775,167.9381023994877,23772
2026,"Curtis Mead","WSN",10,0.1,0.1,1,0.222222222,0.3,0.555555555,0.855555555,0.333333333,0.142857142,1.6129077212581213,0.48485033080669004,0.3778773248195648,138.18972252864685,23986
2026,"Steven Kwan","CLE",16,0.0625,0.125,0.5,0.285714285,0.375,0.357142857,0.732142857,0.071428572,0.333333333,2.164578609121838,0.3596867843995478,0.34365441650152206,125.73634118111516,24610
2026,"Jarren Duran","BOS",11,0.09090909,0.181818181,0.5,0.2,0.272727272,0.2,0.472727272,0,0.25,0.5422603620250536,-0.6986027674715208,0.2304890968582847,40.985420684573384,24617
2026,"Ryan Jeffers","MIN",19,0.210526315,0.105263157,2,0.266666666,0.421052631,0.4,0.821052631,0.133333334,0.307692307,3.1397384220571456,0.9964293801994262,0.3830869950746235,151.3128110636584,24618
2026,"Brendan Donovan","SEA",19,0.052631578,0.263157894,0.2,0.222222222,0.263157894,0.222222222,0.485380116,0,0.307692307,0.9232052888503857,-1.2201037530073338,0.2295591297902559,51.44926328471582,24679
2026,"Andy Pages","LAD",12,0.083333333,0.333333333,0.25,0.272727272,0.333333333,0.363636363,0.696969696,0.090909091,0.428571428,1.4102617679735854,0.056592899431867766,0.320275957385699,101.25814946304949,24816
2026,"Heriberto Hernandez","MIA",19,0.157894736,0.210526315,0.75,0.125,0.263157894,0.25,0.513157894,0.125,0.166666666,1.1832052163845175,-0.960103825473202,0.24756798932426854,52.25478906863654,24878
2026,"Isaac Collins","KCR",14,0,0.5,0,0.071428571,0.071428571,0.285714285,0.357142856,0.214285714,0,-0.12315296665243919,-1.702433313284443,0.15403677736009871,-11.282591347663452,25477
2026,"Joey Ortiz","MIL",13,0.153846153,0.23076923,0.666666666,0.363636363,0.461538461,0.363636363,0.825174824,0,0.5,2.2171075516577035,0.7506329440708427,0.39005847160632795,146.81004594188906,25493
2026,"Bobby Witt Jr.","KCR",17,0.176470588,0.117647058,1.5,0.357142857,0.470588235,0.5,0.970588235,0.142857143,0.416666666,3.0831444788954077,1.1654469151279747,0.40429097414016724,163.80793619562291,25764
2026,"Shea Langeliers","ATH",10,0,0.4,0,0.2,0.2,0.8,1,0.6,0,2.018867721910314,0.8908103314588829,0.4313029766082764,182.91131010518373,25816
2026,"Corbin Carroll","ARI",18,0.055555555,0.055555555,1,0.470588235,0.5,1,1.5,0.529411765,0.466666666,6.509230086559933,4.478726783747356,0.6415222055382199,308.42118401349404,25878
2026,"Michael Harris II","ATL",14,0.071428571,0.214285714,0.333333333,0.076923076,0.142857142,0.307692307,0.450549449,0.230769231,0,0.4156914110831472,-1.1635889355488565,0.20468939627919877,25.252169249096045,25931
2026,"Nasim Nunez","WSN",14,0.142857142,0.285714285,0.5,0.181818181,0.357142857,0.181818181,0.538961038,0,0.285714285,1.2674201749603613,-0.3118601716716425,0.28475387181554523,77.71830351311975,25979
2026,"Francisco Alvarez","NYM",11,0.09090909,0.363636363,0.25,0.1,0.181818181,0.1,0.281818181,0,0.166666666,-0.1515840247687666,-1.392447154265341,0.1474780331958424,-8.251619370579204,26121
2026,"Jake Mangum","PIT",15,0.133333333,0.066666666,2,0.307692307,0.4,0.307692307,0.707692307,0,0.333333333,1.9654215899671263,0.27333550428997955,0.3380506753921509,110.48679770323382,26202
2026,"Darell Hernaiz","ATH",10,0,0.1,0,0.2,0.2,0.2,0.4,0,0.222222222,0.12925896513475546,-0.9987984253166758,0.18262434005737305,8.923124401715556,26224
2026,"Adley Rutschman","BAL",10,0.1,0.1,1,0.111111111,0.2,0.222222222,0.422222222,0.111111111,0.125,0.27425895607652195,-0.8537984343749093,0.2017068088054657,26.691791053809617,26288
2026,"Gunnar Henderson","BAL",12,0.166666666,0.25,0.666666666,0.444444444,0.583333333,1.222222222,1.805555555,0.777777778,0.5,5.096403667014137,3.7427347984724193,0.7245328078667322,392.4873747715638,26289
2026,"Josh Jung","TEX",12,0.083333333,0.333333333,0.25,0.09090909,0.166666666,0.09090909,0.257575756,0,0.142857142,-0.2774270056140551,-1.6310958741557726,0.13518819709618887,-19.888375534520666,26299
2026,"Michael Busch","CHC",15,0.266666666,0.066666666,4,0.2,0.4,0.2,0.6,0,0.2,1.6554215718506595,-0.03666451382648747,0.3108526706695557,96.37970814669372,26319
2026,"Spencer Steer","CIN",16,0.0625,0.3125,0.2,0.266666666,0.3125,0.533333333,0.845833333,0.266666667,0.333333333,2.545538609774031,0.7406467850517406,0.3749891482293606,131.5758078006435,26323
2026,"Jonny DeLuca","TBR",10,0,0.2,0,0.2,0.2,0.5,0.7,0.3,0.142857142,1.0740633435225346,-0.05399404692889666,0.3069636583328247,97.9242909625245,26365
2026,"Matt Wallner","MIN",26,0.076923076,0.346153846,0.222222222,0.208333333,0.269230769,0.375,0.644230769,0.166666667,0.285714285,2.5197975658505527,-0.4131516493231687,0.2931571052624629,88.39329941623217,26466
2026,"Angel Martinez","CLE",11,0,0.09090909,0,0.272727272,0.272727272,0.272727272,0.545454544,0,0.3,0.697260371083287,-0.5436027584132874,0.24903319098732687,59.53453315856053,26540
2026,"Agustin Ramirez","MIA",22,0.227272727,0.181818181,1.25,0.1875,0.409090909,0.375,0.784090909,0.1875,0.25,3.1722453682426925,0.6905191092495435,0.35537606477737427,122.26193650227945,26546
2026,"Elly De La Cruz","CIN",20,0.05,0.35,0.142857142,0.210526315,0.25,0.526315789,0.776315789,0.315789474,0.2,2.686971064780656,0.4308562838777934,0.34242049157619475,110.42675436980247,26668
2026,"Austin Martin","MIN",26,0.23076923,0.115384615,2,0.263157894,0.461538461,0.263157894,0.724696355,0,0.3125,3.9942150761407063,1.0612658609669845,0.3677871525287628,140.60826529718625,27462
2026,"Tyler Soderstrom","ATH",14,0,0.428571428,0,0.142857142,0.142857142,0.285714285,0.428571427,0.142857143,0.25,0.19588698740420027,-1.3833933592278036,0.18402727161134994,9.904686465622971,27467
2026,"Jordan Walker","STL",14,0.071428571,0.285714285,0.25,0.461538461,0.5,1.307692307,1.807692307,0.846153846,0.5,6.374522101827806,4.795241755195803,0.7648332757609231,391.52430612509136,27475
2026,"Masyn Winn","STL",12,0,0,0,0.25,0.25,0.333333333,0.583333333,0.083333333,0.25,0.8714173902379986,-0.48225147830371895,0.2611812353134155,64.46863332253965,27479
2026,"Nick Gonzales","PIT",14,0.071428571,0.285714285,0.25,0.23076923,0.285714285,0.23076923,0.516483515,0,0.333333333,0.8585758062830082,-0.7207045403489956,0.24632155469485692,50.920813897065344,27490
2026,"Nick Yorke","PIT",15,0.266666666,0.2,1.333333333,0.2,0.4,0.2,0.6,0,0.25,1.6554215718506595,-0.03666451382648747,0.3108526706695557,92.82527542382107,27504
2026,"David Hamilton","MIL",10,0.3,0.1,3,0.2,0.555555555,0.2,0.755555555,0,0.25,1.9351500779206332,0.807092687469202,0.4202854633331299,166.4384963840286,27531
2026,"Garrett Mitchell","MIL",10,0.2,0.4,0.5,0.285714285,0.444444444,0.285714285,0.730158729,0,0.666666666,1.4808785571680192,0.3528211667165878,0.3605018589231703,127.61691840434256,27555
2026,"Casey Schmitt","SFG",11,0.09090909,0.272727272,0.333333333,0.444444444,0.545454545,0.555555555,1.1010101,0.111111111,0.666666666,2.7937935133482803,1.5529303838517057,0.49986096945675934,219.69696151382502,27577
2026,"Alec Burleson","STL",16,0.0625,0.0625,1,0.2,0.25,0.2,0.45,0,0.214285714,0.6068898445924311,-1.198001980129859,0.2155313603579998,34.82505130978711,27615
