rank,game_label,script,legs,sp_name,sp_side,p_joint_model,p_joint_indep,p_joint_market,sgp_edge,leg_probs,close_total,f5_est,sp_k_line,physics_note,action
33,COL @ NYM,B Explosion,Home_Score>=5 | Game_Over_7.5 | Home_ML_Win,AARON CIVALE,away,0.2561,0.1398,0.1188,1.1557,home_score_5+=0.400 game_over=0.500 ml_win=0.699,7.5,4.2,,Park=Citi Field alt=37ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
34,MIN @ TB,B Explosion,Home_Score>=5 | Game_Over_7.5 | Home_ML_Win,CAM SCHLITTLER,away,0.2029,0.1115,0.0948,1.1406,home_score_5+=0.400 game_over=0.500 ml_win=0.558,7.5,4.2,,Park=Tropicana Field alt=45ft roof=fixed | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
35,COL @ NYM,A2 Dominance,SP_F5_K>=6.5 | F5_Under_4.2 | Game_Under_7.5,FREDDY PERALTA,home,0.2762,0.1534,0.1304,1.1178,K_over=0.590 F5_under=0.520 game_under=0.500,7.5,4.2,6.5,Park=Citi Field alt=37ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.70 LHB pull=-0.49 (headwind) | temp=72.0F,PLAY
36,MIA @ SF,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,TYLER MAHLE,home,0.205,0.117,0.0994,1.0617,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Oracle Park alt=0ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.26 LHB pull=+0.26 (neutral) | temp=72.0F,PLAY
37,PIT @ MIL,A2 Dominance,SP_F5_K>=4 | F5_Under_3.9 | Game_Under_7.0,BRANDON SPROAT,home,0.2045,0.117,0.0994,1.0563,K_over=0.450 F5_under=0.520 game_under=0.500,7.0,3.92,,Park=American Family Field alt=635ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.61 LHB pull=-0.19 (headwind) | temp=72.0F,PLAY
38,LAA @ KC,A2 Dominance,SP_F5_K>=4.5 | F5_Under_5.0 | Game_Under_9.0,NOAH CAMERON,home,0.227,0.146,0.1241,0.8295,K_over=0.561 F5_under=0.520 game_under=0.500,9.0,5.04,4.5,Park=Kauffman Stadium alt=886ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
39,WSH @ CWS,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,JORDAN LEASURE,home,0.1683,0.117,0.0994,0.6925,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=? alt=500ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
40,CLE @ TOR,A2 Dominance,SP_F5_K>=3.5 | F5_Under_4.5 | Game_Under_8.0,MAX SCHERZER,home,0.2011,0.1543,0.1312,0.5332,K_over=0.593 F5_under=0.520 game_under=0.500,8.0,4.48,3.5,Park=Rogers Centre alt=300ft roof=retractable | wind=7.0mph bear=180.0deg -> RHB pull=-0.65 LHB pull=-0.65 (headwind) | temp=72.0F,PLAY
41,MIN @ TB,A2 Dominance,SP_F5_K>=4.5 | F5_Under_4.2 | Game_Under_7.5,DREW RASMUSSEN,home,0.1971,0.1534,0.1304,0.5114,K_over=0.590 F5_under=0.520 game_under=0.500,7.5,4.2,4.5,Park=Tropicana Field alt=45ft roof=fixed | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
42,SEA @ STL,A2 Dominance,SP_F5_K>=4 | F5_Under_5.0 | Game_Under_9.0,DUSTIN MAY,home,0.1334,0.117,0.0994,0.3418,K_over=0.450 F5_under=0.520 game_under=0.500,9.0,5.04,,Park=Busch Stadium alt=465ft roof=open | wind=7.0mph bear=180.0deg -> RHB pull=-0.64 LHB pull=-0.27 (headwind) | temp=72.0F,PLAY
