date,home_park_id,bias_offset,projected_total_adj,bias_source,park_blend,park_residual,park_n,global_residual,n_recent
2024-04-10,NYY,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,SD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,SF,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,STL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-10,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-11,ATL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-11,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-11,KC,-0.66,8.14,fallback,fallback,,0,,0
2024-04-11,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-11,TEX,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,BAL,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,BOS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,CWS,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,DET,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,HOU,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,LAD,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,MIA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,NYM,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,PHI,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,SEA,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,TB,-0.66,8.14,fallback,fallback,,0,,0
2024-04-12,TOR,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,ATH,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,AZ,-0.66,8.14,fallback,fallback,,0,,0
2024-04-13,BAL,-0.66,8.14,fallback,fallback,,0,,0
