date,home_team,away_team,close_total,actual_total,temp_f,offset_uncapped,offset_capped,was_clamped,label_uncapped,label_capped,adj_uncapped,adj_capped,actual_over_vegas,uncapped_says_over,capped_says_over,only_uncapped_over
2025-04-02,NYY,AZ,9.5,7.0,42.0,0.5714285714285715,0.5714285714285715,False,global,global,10.071428571428571,10.071428571428571,False,True,True,False
2025-04-02,BAL,BOS,9.0,3.0,54.3,0.5714285714285715,0.5714285714285715,False,global,global,9.571428571428571,9.571428571428571,False,True,True,False
2025-04-02,PHI,COL,9.5,6.0,47.2,0.5714285714285715,0.5714285714285715,False,global,global,10.071428571428571,10.071428571428571,False,True,True,False
2025-04-02,MIA,NYM,6.5,11.0,78.6,0.6857142857142858,0.6857142857142858,False,blend,blend,7.185714285714286,7.185714285714286,True,True,True,False
2025-04-02,CIN,TEX,8.5,1.0,74.9,0.5714285714285715,0.5714285714285715,False,global,global,9.071428571428571,9.071428571428571,False,True,True,False
2025-04-02,MIL,KC,7.5,5.0,67.0,0.5714285714285715,0.5714285714285715,False,global,global,8.071428571428571,8.071428571428571,False,True,True,False
2025-04-02,TOR,WSH,8.5,6.0,38.3,1.0857142857142859,1.0857142857142859,False,blend,blend,9.585714285714285,9.585714285714285,False,True,True,False
2025-04-02,HOU,SF,9.5,9.0,82.2,-2.8800000000000003,-1.5,True,safety_valve,safety_valve_clamped,6.619999999999999,8.0,False,False,False,False
2025-04-02,CWS,MIN,8.5,7.0,69.3,0.5714285714285715,0.5714285714285715,False,global,global,9.071428571428571,9.071428571428571,False,True,True,False
2025-04-02,STL,LAA,8.5,17.0,67.9,0.5714285714285715,0.5714285714285715,False,global,global,9.071428571428571,9.071428571428571,True,True,True,False
2025-04-02,LAD,ATL,8.0,11.0,66.2,0.6457142857142858,0.6457142857142858,False,blend,blend,8.645714285714286,8.645714285714286,True,True,True,False
2025-04-02,ATH,CHC,8.5,12.0,61.8,0.5714285714285715,0.5714285714285715,False,global,global,9.071428571428571,9.071428571428571,True,True,True,False
2025-04-02,SEA,DET,6.5,5.0,50.8,0.6457142857142858,0.6457142857142858,False,blend,blend,7.145714285714286,7.145714285714286,False,True,True,False
2025-04-02,SD,CLE,7.5,7.0,58.6,-0.8,-0.8,False,safety_valve,safety_valve,6.7,6.7,False,False,False,False
2025-04-03,PHI,COL,9.5,4.0,73.6,0.35897435897435903,0.35897435897435903,False,global,global,9.85897435897436,9.85897435897436,False,False,False,False
2025-04-03,MIN,HOU,7.5,7.0,41.3,0.35897435897435903,0.35897435897435903,False,global,global,7.8589743589743595,7.8589743589743595,False,False,False,False
2025-04-03,NYY,AZ,9.5,16.0,71.1,0.35897435897435903,0.35897435897435903,False,global,global,9.85897435897436,9.85897435897436,True,False,False,False
2025-04-03,MIL,CIN,8.0,1.0,48.7,0.35897435897435903,0.35897435897435903,False,global,global,8.35897435897436,8.35897435897436,False,False,False,False
2025-04-03,BAL,BOS,9.5,12.0,75.7,0.35897435897435903,0.35897435897435903,False,global,global,9.85897435897436,9.85897435897436,True,False,False,False
2025-04-04,PIT,NYY,9.0,13.0,58.0,0.2987951807228916,0.2987951807228916,False,global,global,9.298795180722891,9.298795180722891,True,False,False,False
2025-04-04,BOS,STL,9.0,22.0,56.8,0.2987951807228916,0.2987951807228916,False,global,global,9.298795180722891,9.298795180722891,True,False,False,False
2025-04-04,TEX,TB,7.5,7.0,61.2,0.2987951807228916,0.2987951807228916,False,global,global,7.798795180722892,7.798795180722892,False,False,False,False
2025-04-04,NYM,TOR,7.5,5.0,62.3,0.2987951807228916,0.2987951807228916,False,global,global,7.798795180722892,7.798795180722892,False,False,False,False
2025-04-04,CHC,SD,7.0,4.0,43.0,0.2987951807228916,0.2987951807228916,False,global,global,7.298795180722892,7.298795180722892,False,False,False,False
2025-04-04,ATL,MIA,8.5,10.0,84.0,0.2987951807228916,0.2987951807228916,False,global,global,8.798795180722891,8.798795180722891,True,False,False,False
2025-04-04,PHI,LAD,8.5,5.0,64.5,0.2987951807228916,0.2987951807228916,False,global,global,8.798795180722891,8.798795180722891,False,False,False,False
2025-04-04,LAA,CLE,8.0,14.0,69.4,0.2987951807228916,0.2987951807228916,False,global,global,8.298795180722891,8.298795180722891,True,False,False,False
2025-04-04,WSH,AZ,8.5,10.0,67.8,0.2987951807228916,0.2987951807228916,False,global,global,8.798795180722891,8.798795180722891,True,False,False,False
2025-04-04,COL,ATH,9.0,9.0,38.8,0.2987951807228916,0.2987951807228916,False,global,global,9.298795180722891,9.298795180722891,False,False,False,False
2025-04-04,KC,BAL,8.0,10.0,50.5,0.2987951807228916,0.2987951807228916,False,global,global,8.298795180722891,8.298795180722891,True,False,False,False
2025-04-04,MIL,CIN,8.0,5.0,40.2,0.2987951807228916,0.2987951807228916,False,global,global,8.298795180722891,8.298795180722891,False,False,False,False
2025-04-04,SF,SEA,7.0,19.0,63.0,0.2987951807228916,0.2987951807228916,False,global,global,7.298795180722892,7.298795180722892,True,False,False,False
2025-04-04,DET,CWS,7.5,11.0,46.2,0.2987951807228916,0.2987951807228916,False,global,global,7.798795180722892,7.798795180722892,True,False,False,False
2025-04-05,PIT,NYY,9.0,14.0,63.0,0.511340206185567,0.511340206185567,False,global,global,9.511340206185567,9.511340206185567,True,True,True,False
2025-04-05,CHC,SD,7.5,8.0,43.9,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,True,True,True,False
2025-04-05,PHI,LAD,7.5,4.0,56.2,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,False,True,True,False
2025-04-05,WSH,AZ,9.0,7.0,77.5,0.511340206185567,0.511340206185567,False,global,global,9.511340206185567,9.511340206185567,False,True,True,False
2025-04-05,ATL,MIA,7.5,4.0,83.9,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,False,True,True,False
2025-04-05,NYM,TOR,7.5,5.0,47.1,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,False,True,True,False
2025-04-05,DET,CWS,7.5,9.0,52.5,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,True,True,True,False
2025-04-05,KC,BAL,8.0,9.0,45.6,0.511340206185567,0.511340206185567,False,global,global,8.511340206185567,8.511340206185567,True,True,True,False
2025-04-05,MIN,HOU,8.5,7.0,39.7,0.511340206185567,0.511340206185567,False,global,global,9.011340206185567,9.011340206185567,False,True,True,False
2025-04-05,MIL,CIN,8.0,18.0,47.1,-1.8399999999999999,-1.5,True,safety_valve,safety_valve_clamped,6.16,6.5,True,False,False,False
2025-04-05,TEX,TB,8.0,10.0,56.2,0.511340206185567,0.511340206185567,False,global,global,8.511340206185567,8.511340206185567,True,True,True,False
2025-04-05,LAA,CLE,9.0,14.0,80.9,0.511340206185567,0.511340206185567,False,global,global,9.511340206185567,9.511340206185567,True,True,True,False
2025-04-05,SF,SEA,7.5,5.0,63.9,0.511340206185567,0.511340206185567,False,global,global,8.011340206185567,8.011340206185567,False,True,True,False
2025-04-05,COL,ATH,10.0,11.0,40.2,0.511340206185567,0.511340206185567,False,global,global,10.511340206185567,10.511340206185567,True,True,True,False
2025-04-06,CHC,SD,7.5,15.0,41.1,0.45999999999999996,0.45999999999999996,False,global,global,7.96,7.96,True,False,False,False
2025-04-06,NYM,TOR,7.0,3.0,54.4,0.45999999999999996,0.45999999999999996,False,global,global,7.46,7.46,False,False,False,False
2025-04-06,PHI,LAD,7.0,15.0,55.6,0.45999999999999996,0.45999999999999996,False,global,global,7.46,7.46,True,False,False,False
2025-04-06,DET,CWS,7.5,7.0,41.5,0.45999999999999996,0.45999999999999996,False,global,global,7.96,7.96,False,False,False,False
2025-04-06,BOS,STL,9.5,25.0,53.1,0.45999999999999996,0.45999999999999996,False,global,global,9.96,9.96,True,False,False,False
2025-04-06,PIT,NYY,8.5,9.0,39.0,0.45999999999999996,0.45999999999999996,False,global,global,8.96,8.96,True,False,False,False
2025-04-06,WSH,AZ,7.5,9.0,56.9,0.45999999999999996,0.45999999999999996,False,global,global,7.96,7.96,True,False,False,False
2025-04-06,LAA,CLE,9.0,8.0,81.2,0.45999999999999996,0.45999999999999996,False,global,global,9.46,9.46,False,False,False,False
2025-04-06,COL,ATH,10.5,17.0,55.7,0.45999999999999996,0.45999999999999996,False,global,global,10.96,10.96,True,False,False,False
2025-04-06,KC,BAL,7.5,5.0,51.3,0.45999999999999996,0.45999999999999996,False,global,global,7.96,7.96,False,False,False,False
2025-04-06,MIL,CIN,8.5,10.0,44.4,-0.2,-0.2,False,safety_valve,safety_valve,8.3,8.3,True,False,False,False
2025-04-06,TEX,TB,8.0,7.0,49.5,-0.8800000000000001,-0.8800000000000001,False,safety_valve,safety_valve,7.12,7.12,False,False,False,False
2025-04-06,MIN,HOU,8.5,16.0,55.4,0.45999999999999996,0.45999999999999996,False,global,global,8.96,8.96,True,False,False,False
