home_team,away_team,home_sp,away_sp,xgb_l1,stacker_l2,team_log_odds,actual_home_win,game_date,game_pk,model_prob,bet_type,home_score_final,away_score_final,actual,close_ml_home,pinnacle_ml_home,retail_implied_home,P_true_home,retail_odds,retail_imp,p_true,P_true,retail_implied_prob,edge,sanity_check_pass,odds_floor_pass,tier,dollar_stake,actionable,market,lam_home,lam_away,total_line,p_over_dc,p_over_xgb,p_over_final,p_cover_dc,p_cover_xgb,p_home_cover_final,actual_total,close_total,pinnacle_total_over_odds,retail_implied_over,P_true_over,home_covers_rl,runline_home_odds,pinnacle_rl_home_odds,retail_implied_rl_home,P_true_rl_home,actual_f5_home,actual_f5_away,actual_f5_win,f5_home_win,skip_sanity,p_stk_nrfi,pois_p_nrfi,actual_f1_home,actual_f1_away,actual_nrfi,f1_nrfi
BAL,TEX,CHRIS BASSITT,JACK LEITER,,,,,2026-03-30,824863,0.6866,OVER,2.0,5.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.1628,True,True,1.0,50.0,True,TOT,5.037,6.409,8.5,0.5344,0.8052,0.6866,0.6828,0.5179,0.5206,7.0,,,,,,,,,,,,,,,,,,,,
MIA,CWS,JANSON JUNK,ERICK FEDDE,,,,,2026-03-31,823888,0.5421,OVER,9.0,2.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0183,True,True,2.0,10.0,True,TOT,4.081,5.457,8.5,0.4996,0.6129,0.5421,0.7692,0.5196,0.5401,11.0,,,,,,,,,,,,,,,,,,,,
BAL,TEX,ZACH EFLIN,JACOB DEGROM,,,,,2026-03-31,824861,0.6096,OVER,5.0,8.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0858,True,True,1.0,50.0,True,TOT,3.952,6.46,8.5,0.5344,0.7116,0.6096,0.6828,0.38,0.4313,13.0,,,,,,,,,,,,,,,,,,,,
HOU,BOS,MIKE BURROWS,GARRETT CROCHET,,,,,2026-04-01,824211,0.5893,OVER,6.0,4.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0655,True,True,1.0,50.0,True,TOT,4.242,5.951,8.5,0.5746,0.6885,0.5893,0.6994,0.4772,0.4989,10.0,,,,,,,,,,,,,,,,,,,,
WSH,LAD,MILES MIKOLAS,EMMET SHEEHAN,,,,,2026-04-03,822758,0.5992,OVER,6.0,13.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0754,True,True,1.0,50.0,True,TOT,4.285,6.144,8.5,0.6834,0.7133,0.5992,0.4577,0.4588,0.4394,19.0,,,,,,,,,,,,,,,,,,,,
NYY,MIA,WILL WARREN,EURY PEREZ,,,,,2026-04-03,823568,0.8123,OVER,8.0,2.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.2885,True,True,1.0,50.0,True,TOT,9.571,3.978,8.5,0.5679,0.9228,0.8123,0.8246,0.9764,0.929,10.0,,,,,,,,,,,,,,,,,,,,
MIN,TB,BAILEY OBER,JOE BOYLE,,,,,2026-04-03,823732,0.6168,OVER,10.0,4.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.093,True,True,1.0,50.0,True,TOT,5.344,5.157,8.5,0.5316,0.7208,0.6168,0.656,0.7013,0.6368,14.0,,,,,,,,,,,,,,,,,,,,
DET,STL,FRAMBER VALDEZ,MICHAEL MCGREEVY,,,,,2026-04-03,824299,0.5543,OVER,4.0,0.0,0,,,,,-110.0,0.5238095238095238,,,0.5238,0.0305,True,True,1.0,32.0,True,TOT,5.609,4.079,8.5,0.4995,0.6309,0.5543,0.7431,0.838,0.759,4.0,,,,,,,,,,,,,,,,,,,,
ATH,HOU,JEFFREY SPRINGS,CRISTIAN JAVIER,,,,,2026-04-03,825026,0.5477,OVER,11.0,4.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.0239,True,True,2.0,13.0,True,TOT,6.009,3.667,8.5,0.5722,0.6295,0.5477,0.5151,0.8955,0.7855,15.0,,,,,,,,,,,,,,,,,,,,
WSH,LAD,JAKE IRVIN,TYLER GLASNOW,,,,,2026-04-04,822757,0.6408,OVER,5.0,10.0,1,,,,,-110.0,0.5238095238095238,,,0.5238,0.117,True,True,1.0,50.0,True,TOT,4.48,6.489,8.5,0.6834,0.7652,0.6408,0.4577,0.4417,0.4286,15.0,,,,,,,,,,,,,,,,,,,,
