date,game,home_abbr,away_abbr,model,bet_type,pick_direction,model_prob,P_true,Retail_Implied_Prob,edge,retail_american_odds,tier,dollar_stake,signal_flags,result,profit_loss,graded_at
2026-04-12,Pittsburgh Pirates @ Chicago Cubs,CHC,PIT,ML,Moneyline,HOME,0.793,,0.576271186440678,0.2167,-136.0,1,50.0,,WIN,36.76,2026-04-22T13:47:45+00:00
2026-04-12,Miami Marlins @ Detroit Tigers,DET,MIA,ML,Moneyline,HOME,0.796,,0.6742671009771987,0.1217,-207.0,1,50.0,,WIN,24.15,2026-04-22T13:47:45+00:00
2026-04-12,Miami Marlins @ Detroit Tigers,DET,MIA,Runline,Runline -1.5,HOME,0.6144,,0.4739336492890995,0.1405,111.0,1,50.0,,WIN,55.5,2026-04-22T13:47:45+00:00
2026-04-12,Chicago White Sox @ Kansas City Royals,KC,CWS,Runline,Runline -1.5,HOME,0.6273,,0.4878048780487805,0.1395,105.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-12,Texas Rangers @ Los Angeles Dodgers,LAD,TEX,Runline,Runline -1.5,HOME,0.7562,,0.4854368932038835,0.2708,106.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-12,Washington Nationals @ Milwaukee Brewers,MIL,WSH,Runline,Runline -1.5,HOME,0.7003,,0.4694835680751174,0.2308,113.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-12,Colorado Rockies @ San Diego Padres,SD,COL,ML,Moneyline,HOME,0.754,,0.6376811594202898,0.1163,-176.0,1,50.0,,WIN,28.41,2026-04-22T13:47:45+00:00
2026-04-12,Colorado Rockies @ San Diego Padres,SD,COL,Runline,Runline -1.5,HOME,0.7903,,0.4081632653061224,0.3821,145.0,1,50.0,,WIN,72.5,2026-04-22T13:47:45+00:00
2026-04-12,Houston Astros @ Seattle Mariners,SEA,HOU,Runline,Runline -1.5,HOME,0.6454,,0.5555555555555556,0.0898,-125.0,1,50.0,,WIN,40.0,2026-04-22T13:47:45+00:00
2026-04-12,New York Yankees @ Tampa Bay Rays,TB,NYY,ML,Moneyline,HOME,0.775,,0.4366812227074236,0.3383,129.0,1,50.0,,WIN,64.5,2026-04-22T13:47:45+00:00
2026-04-12,New York Yankees @ Tampa Bay Rays,TB,NYY,Runline,Runline -1.5,HOME,0.6921,,0.588477366255144,0.1036,-143.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-13,AZ @ Baltimore Orioles,BAL,AZ,Totals,Total 8.5,OVER,0.59,,0.5238095238095238,0.0662,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-13,Boston Red Sox @ Minnesota Twins,MIN,BOS,Totals,Total 8.5,OVER,0.6529,,0.5238095238095238,0.1291,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-13,Los Angeles Angels @ New York Yankees,NYY,LAA,Totals,Total 8.5,OVER,0.7196,,0.5238095238095238,0.1958,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-13,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,Totals,Total 8.5,OVER,0.7861,,0.5238095238095238,0.2623,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-14,Miami Marlins @ Atlanta Braves,ATL,MIA,ML,Moneyline,HOME,0.835,0.5953,0.592911,0.2421,-163.0,1,50.0,,WIN,30.67,2026-04-22T13:47:45+00:00
2026-04-14,Miami Marlins @ Atlanta Braves,ATL,MIA,Runline,Runline -1.5,HOME,0.83,0.4149,0.417455,0.4125,129.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,San Francisco Giants @ Cincinnati Reds,CIN,SF,ML,Moneyline,HOME,0.566,0.5071,0.510834,0.0552,-115.0,1,33.45,,WIN,29.09,2026-04-22T13:47:45+00:00
2026-04-14,San Francisco Giants @ Cincinnati Reds,CIN,SF,Runline,Runline -1.5,HOME,0.668,0.3465,0.611184,0.0568,-177.0,1,40.18,,LOSS,-40.18,2026-04-22T13:47:45+00:00
2026-04-14,Kansas City Royals @ Detroit Tigers,DET,KC,ML,Moneyline,HOME,0.91,0.5141,0.526087,0.3839,-122.0,1,50.0,,WIN,40.98,2026-04-22T13:47:45+00:00
2026-04-14,Kansas City Royals @ Detroit Tigers,DET,KC,Runline,Runline -1.5,HOME,0.862,0.3416,0.625138,0.2369,-189.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Toronto Blue Jays @ Milwaukee Brewers,MIL,TOR,Runline,Runline -1.5,HOME,0.6621,0.3431,0.355394,0.3067,169.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Boston Red Sox @ Minnesota Twins,MIN,BOS,ML,Moneyline,HOME,0.569,0.4525,0.448942,0.1201,113.0,1,50.0,,WIN,56.5,2026-04-22T13:47:45+00:00
2026-04-14,Boston Red Sox @ Minnesota Twins,MIN,BOS,Runline,Runline -1.5,HOME,0.8438,0.5793,0.571628,0.2722,-149.0,1,50.0,,WIN,33.56,2026-04-22T13:47:45+00:00
2026-04-14,Los Angeles Angels @ New York Yankees,NYY,LAA,ML,Moneyline,HOME,0.679,0.6162,0.621983,0.057,-186.0,1,40.97,,LOSS,-40.97,2026-04-22T13:47:45+00:00
2026-04-14,Los Angeles Angels @ New York Yankees,NYY,LAA,Runline,Runline -1.5,HOME,0.7076,0.4472,0.448942,0.2587,113.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Chicago Cubs @ Philadelphia Phillies,PHI,CHC,Runline,Runline -1.5,HOME,0.5729,0.3946,0.391738,0.1812,144.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,ML,Moneyline,HOME,0.723,0.6288,0.621983,0.101,-186.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,Runline,Runline -1.5,HOME,0.8094,0.458,0.457616,0.3518,109.0,1,50.0,,LOSS,-50.0,2026-04-22T13:47:45+00:00
2026-04-14,Washington Nationals @ Pittsburgh Pirates,PIT,WSH,Totals,Total 8.5,OVER,0.5894,0.4908,0.49567,0.0937,-110.0,1,50.0,,WIN,45.45,2026-04-22T13:47:45+00:00
2026-04-14,Cleveland Guardians @ St. Louis Cardinals,STL,CLE,ML,Moneyline,HOME,0.51,0.4802,0.478261,0.0317,100.0,1,10.0,,WIN,10.0,2026-04-22T13:47:45+00:00
2026-04-14,Cleveland Guardians @ St. Louis Cardinals,STL,CLE,Totals,Total 8.5,OVER,0.528,0.4697,0.475151,0.0528,-110.0,1,4.4,,WIN,4.0,2026-04-22T13:47:45+00:00
